stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
stop_214_31329,,"Komorowskiego","",50.053384,19.921893,,,0,,,
stop_216_31919,,"Jubilat","",50.055498,19.928109,,,0,,,
stop_216_31929,,"Jubilat","",50.054999,19.927052,,,0,,,
stop_217_32019,,"Reymana","",50.061364,19.911163,,,0,,,
stop_217_32029,,"Reymana","",50.061356,19.910722,,,0,,,
stop_218_32119,,"Uniwersytet Jagielloński","",50.060266,19.930614,,,0,,,
stop_218_32129,,"Uniwersytet Jagielloński","",50.060357,19.931536,,,0,,,
stop_219_32229,,"Filharmonia","",50.058666,19.933001,,,0,,,
stop_219_32239,,"Filharmonia","",50.05917,19.9331,,,0,,,
stop_221_32519,,"Wawel","",50.05455,19.939742,,,0,,,
stop_221_32529,,"Wawel","",50.054229,19.939381,,,0,,,
stop_222_35719,,"Poczta Główna","",50.059797,19.942404,,,0,,,
stop_222_35729,,"Poczta Główna","",50.059205,19.942571,,,0,,,
stop_222_35739,,"Poczta Główna","",50.059339,19.941821,,,0,,,
stop_223_35819,,"Starowiślna","",50.05731,19.94455,,,0,,,
stop_223_35829,,"Starowiślna","",50.05689,19.945029,,,0,,,
stop_223_35839,,"Starowiślna","",50.057227,19.946086,,,0,,,
stop_223_35849,,"Starowiślna","",50.057262,19.946032,,,0,,,
